tsne1,tsne2,label
11.729048,13.840051,drink
13.263685,5.8997827,drink
29.71836,1.3317342,drink
30.081078,-0.39393333,drink
-15.482592,-7.608987,drink
21.374979,10.905126,drink
-6.733214,0.87317586,drink
23.184494,0.1320233,drink
17.321457,22.247766,drink
9.103609,9.576993,drink
-0.5432565,15.889365,drink
10.763996,25.954784,drink
-6.3778453,-4.9486547,drink
1.0673947,15.098697,drink
-18.188251,15.423098,drink
16.094006,13.574909,drink
-17.970222,-11.661541,drink
-4.1172366,-29.215094,drink
17.702148,-1.5600655,drink
-4.256437,-0.14217226,drink
10.325501,12.644338,drink
-3.8996723,-2.3259552,drink
-10.281862,0.15784791,drink
-3.3445506,-2.897703,drink
11.947543,12.241085,drink
18.051147,15.327404,drink
21.844112,2.7081246,drink
-1.8943293,9.237776,drink
11.136416,20.607359,drink
13.154302,15.684906,drink
1.5491112,-26.869202,drink
26.893398,-4.1892014,drink
-5.116894,-24.924334,drink
8.627854,-0.7993149,drink
5.749835,2.548604,drink
-9.78936,13.924516,drink
-4.1160784,-29.218102,drink
-2.925284,0.13706692,drink
1.4816614,-7.1854167,drink
15.733123,14.961165,drink
18.354548,9.30557,drink
9.444529,22.598412,drink
15.909989,4.156216,drink
24.31983,18.119509,drink
9.845843,11.861948,drink
18.118528,4.0440307,drink
37.943245,-33.145004,drink
14.158475,10.358849,drink
42.10156,-1.3279085,drink
-25.59185,21.503378,drink
30.927263,2.2022476,drink
5.2476645,15.337158,drink
-30.843596,3.5898545,drink
19.70093,23.911945,drink
-12.286611,30.270687,drink
16.434666,7.6517515,drink
-3.0368636,-10.823337,drink
-11.023172,-5.2600837,drink
28.253624,1.5489548,drink
19.846558,23.419697,drink
6.2189374,9.045206,drink
20.300753,13.235553,drink
23.695349,6.912625,drink
-7.531016,-10.164205,drink
26.292715,-10.36109,drink
15.318004,24.497906,drink
15.316245,24.498333,drink
25.521019,-8.640526,drink
12.972788,4.9780164,drink
28.46033,-4.462137,drink
-4.4590793,-1.825418,drink
12.93096,0.107036486,drink
-27.266472,1.0853108,drink
17.803879,-1.3919203,drink
-33.353462,7.146111,drink
42.101547,-1.3279184,drink
20.423618,16.36239,drink
-16.58925,7.570095,drink
8.227457,13.330854,drink
-7.979134,-9.641069,drink
15.317881,24.498968,drink
16.526402,13.996639,drink
15.476119,17.26809,drink
28.824547,-0.29959717,drink
-31.824236,5.5738235,drink
11.82976,15.322068,drink
9.380961,10.30391,drink
-16.911972,0.8341233,drink
-3.5087688,-0.87875634,drink
9.199414,28.651958,drink
11.856271,29.011024,drink
37.943348,-33.145016,drink
11.658679,12.083595,drink
16.322275,1.471932,drink
-6.651935,-0.33736542,drink
17.047693,12.997472,drink
15.753988,13.267315,drink
-10.490518,-29.072481,drink
6.556705,1.2241683,drink
2.8597536,-42.149586,drink
6.133393,8.769456,drink
13.81692,-0.9004872,drink
6.9761014,14.320275,drink
18.716795,3.458293,drink
21.594507,4.416098,drink
42.10156,-1.3279085,drink
17.660728,2.1426642,drink
-8.59682,0.4637204,drink
-5.6221657,-19.153742,drink
-5.7770295,-28.005995,drink
9.893673,29.682459,drink
9.21782,28.870459,drink
16.65232,0.61765045,drink
-19.451433,-10.4142065,drink
10.340396,-1.4201238,drink
17.527843,12.814959,drink
-0.88198143,-15.701603,drink
8.782043,13.794187,drink
11.184478,20.485415,drink
-25.57696,8.212748,drink
-20.529957,-0.8902855,drink
-12.869264,-11.167045,drink
6.748483,12.540286,drink
3.0759969,-11.172431,drink
29.758636,1.3656495,drink
21.31394,10.791541,drink
15.317925,24.49808,drink
12.083031,2.8126519,drink
13.138309,9.340136,drink
-15.437116,3.1123664,drink
-6.560559,-0.41839653,drink
24.67803,1.5845702,drink
13.218397,15.797092,drink
24.110983,11.910911,drink
-3.2868965,3.1694489,drink
4.980579,4.7264657,drink
10.527733,10.146679,drink
7.2767773,27.11875,drink
-7.6053452,-2.163259,drink
-8.3602705,-0.2905238,drink
22.633503,5.909841,drink
-14.241276,19.107693,drink
12.572036,19.329737,drink
2.2070985,-18.192522,drink
